Nama Tempat,Status Operasional,Rating,Jumlah Ulasan,Alamat,Situs Web,Nomor Telepon,URL Google Maps,Latitude,Longitude
Bella Vista Cafe,Tidak Tutup Permanen,"4,2",5,"JXW8+R9W, Jl. Gotong Royong, Pringsewu Bar., Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,N/A,https://www.google.com/maps/place/Bella+Vista+Cafe/data=!4m7!3m6!1s0x2e47333e94d48d11:0x991de7268a9fc8f2!8m2!3d-5.3528998!4d104.9659561!16s%2Fg%2F11gzs0ydlx!19sChIJEY3UlD4zRy4R8sifiibnHZk?authuser=0&hl=id&rclk=1,-5.3528998,104.9659561
MARJO KOPRA,Tidak Tutup Permanen,"4,5",2,"J2XG+CF8, Jogyakarta, Kec. Gading Rejo, Kabupaten Pringsewu, Lampung 35372",N/A,N/A,https://www.google.com/maps/place/MARJO+KOPRA/data=!4m7!3m6!1s0x2e4733147c41f729:0xb75926ce7ca19858!8m2!3d-5.3520175!4d105.0264463!16s%2Fg%2F11pckn3s82!19sChIJKfdBfBQzRy4RWJihfM4mWbc?authuser=0&hl=id&rclk=1,-5.3520175,105.0264463
SEMPURNA SEJATI COFFEE,Tidak Tutup Permanen,,0,"J2F8+F34, Wates, Kec. Gading Rejo, Kabupaten Pringsewu, Lampung 35372",N/A,0821-8542-1804,https://www.google.com/maps/place/SEMPURNA+SEJATI+COFFEE/data=!4m7!3m6!1s0x2e472d3e8cc3603d:0x91e01dc9fc2c0650!8m2!3d-5.3763598!4d105.0152109!16s%2Fg%2F11fj7hpp5j!19sChIJPWDDjD4tRy4RUAYs_Mkd4JE?authuser=0&hl=id&rclk=1,-5.3763598,105.0152109
Nucafee,Tidak Tutup Permanen,"5,0",3,"Jl. Raya Panutan No.444, Patoman, Kec. Pagelaran, Kabupaten Pringsewu, Lampung 35376",N/A,0853-6601-6401,https://www.google.com/maps/place/Nucafee/data=!4m7!3m6!1s0x2e4731bd6c58035d:0x58dd5574d92d29d6!8m2!3d-5.3714085!4d104.8904174!16s%2Fg%2F11gk3gcg3d!19sChIJXQNYbL0xRy4R1ikt2XRV3Vg?authuser=0&hl=id&rclk=1,-5.3714085,104.8904174
Kopi surga,Tidak Tutup Permanen,"5,0",2,"MXXJ+RRH, Sukoharjo III, Kec. Sukoharjo, Kabupaten Pringsewu, Lampung 35674",N/A,N/A,https://www.google.com/maps/place/Kopi+surga/data=!4m7!3m6!1s0x2e4733fd4cfb0ccb:0x1d98bdb4d5844ed6!8m2!3d-5.3004403!4d104.9821096!16s%2Fg%2F11p51v8hmk!19sChIJywz7TP0zRy4R1k6E1bS9mB0?authuser=0&hl=id&rclk=1,-5.3004403,104.9821096
Bendot Cafe Kepoy,Tidak Tutup Permanen,"4,0",3,"JXW9+38H, Pringsewu Bar., Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,N/A,https://www.google.com/maps/place/Bendot+Cafe+Kepoy/data=!4m7!3m6!1s0x2e473354aa6188e3:0xb4d2d155a5f08f48!8m2!3d-5.3548172!4d104.9683669!16s%2Fg%2F11gxhkygsn!19sChIJ44hhqlQzRy4RSI_wpVXR0rQ?authuser=0&hl=id&rclk=1,-5.3548172,104.9683669
Rangga Cafe,Tidak Tutup Permanen,,0,"JXWC+XGJ, Pringsewu Utara, Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,0821-1098-2002,https://www.google.com/maps/place/Rangga+Cafe/data=!4m7!3m6!1s0x2e47336015606025:0x4b618cf9a5d14d83!8m2!3d-5.352549!4d104.9712794!16s%2Fg%2F11gvf3z73z!19sChIJJWBgFWAzRy4Rg03RpfmMYUs?authuser=0&hl=id&rclk=1,-5.352549,104.9712794
TANSU - Ketan Susu Pringsewu,Tidak Tutup Permanen,"5,0",1,"Komplek Chandra Superstore, Jl. Ahmad Yani, Sidoharjo, Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",instagram.com,0821-1306-7687,https://www.google.com/maps/place/TANSU+-+Ketan+Susu+Pringsewu/data=!4m7!3m6!1s0x2e47338b39601ce9:0x5c659ce10fb889d8!8m2!3d-5.3572934!4d104.9855643!16s%2Fg%2F11tw_jlds4!19sChIJ6RxgOYszRy4R2Im4D-GcZVw?authuser=0&hl=id&rclk=1,-5.3572934,104.9855643
CABRIO garden,Tidak Tutup Permanen,"2,8",46,"Jl. Ahmad Yani, Sidoharjo, Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",instagram.com,0822-7869-6354,https://www.google.com/maps/place/CABRIO+garden/data=!4m7!3m6!1s0x2e4733c575658541:0xc2975dc79780378!8m2!3d-5.3629847!4d105.0008043!16s%2Fg%2F11lcdqfhts!19sChIJQYVldcUzRy4ReAN4edx1KQw?authuser=0&hl=id&rclk=1,-5.3629847,105.0008043
Gang Sawadaya Pringsewu Utara,Tidak Tutup Permanen,"4,2",1071,"Gg. SWADAYA, Pringsewu Utara, Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,0831-8535-6431,https://www.google.com/maps/place/Gang+Sawadaya+Pringsewu+Utara/data=!4m7!3m6!1s0x2e473260c7bacaf7:0x857ccd87bc321127!8m2!3d-5.3534725!4d104.9799912!16s%2Fg%2F11b6hqdchg!19sChIJ98q6x2AyRy4RJxEyvIfNfIU?authuser=0&hl=id&rclk=1,-5.3534725,104.9799912
Kopi Kenangan - Ruko Chandra Pringsewu,Tidak Tutup Permanen,"5,0",3,"Jl. Ahmad Yani No.24-25, Sidoharjo, Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",kopikenangan.com,0817-6562-179,https://www.google.com/maps/place/Kopi+Kenangan+-+Ruko+Chandra+Pringsewu/data=!4m7!3m6!1s0x2e4733f480f3e283:0xc12d1eb98c93691!8m2!3d-5.357005!4d104.9851021!16s%2Fg%2F11tmhylw75!19sChIJg-LzgPQzRy4RkTbJmOvREgw?authuser=0&hl=id&rclk=1,-5.357005,104.9851021
Piknik Kopi Pringsewu,Tidak Tutup Permanen,,0,"Jl. Raya Yogyakarta Barat, Jogyakarta, Kec. Gading Rejo, Kabupaten Pringsewu, Lampung 35372",instagram.com,0819-9123-3128,https://www.google.com/maps/place/Piknik+Kopi+Pringsewu/data=!4m7!3m6!1s0x2e473324feaec247:0x832bac8e17dc8b7a!8m2!3d-5.3522294!4d105.0186575!16s%2Fg%2F11kr6pj_95!19sChIJR8Ku_iQzRy4ReovcF46sK4M?authuser=0&hl=id&rclk=1,-5.3522294,105.0186575
Cafe Daniel Gila,Tidak Tutup Permanen,,0,"JXX9+HJG, Jl. Olahraga, Pringsewu Bar., Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,0819-6325-8749,https://www.google.com/maps/place/Cafe+Daniel+Gila/data=!4m7!3m6!1s0x2e4733dc77e717a7:0xa9b85e093f022938!8m2!3d-5.3510742!4d104.969084!16s%2Fg%2F11f62t_k23!19sChIJpxfnd9wzRy4ROCkCPwleuKk?authuser=0&hl=id&rclk=1,-5.3510742,104.969084
